estimate,std.error,p.val,model,term,type.effect,add.infovar
-0.164157446203733,0.0536659591344496,0.00232698006610152,HC3,FE R,direct,FALSE
-0.164157446203733,0.0649716429526034,0.0117891203633867,Canton,FE R,direct,FALSE
-0.164157446203733,0.0447454271454885,0.000266855642981911,Time,FE R,direct,FALSE
-0.164157446203733,0.0597415499654234,0.0061913917937413,Canton-Time,FE R,direct,FALSE
-0.164157446203733,0.0549297238366541,0.00292535892474398,NW,FE R,direct,FALSE
-0.164157446203733,0.0504125673800375,0.00119645308805674,CH,FE R,direct,FALSE
-0.164157446203733,0.0497641687503196,0.00103242395292094,Own,FE R,direct,FALSE
-0.164277478714836,0.0534858787426971,0.00223277132960757,HC3,FE R,total,FALSE
-0.164277478714836,0.0646244791329259,0.0112864509654383,Canton,FE R,total,FALSE
-0.164277478714836,0.0441685818676929,0.000219653379296279,Time,FE R,total,FALSE
-0.164277478714836,0.0590145206125665,0.00555425114762025,Canton-Time,FE R,total,FALSE
-0.164277478714836,0.0546756269615022,0.00277714759720623,NW,FE R,total,FALSE
-0.164277478714836,0.0499489342494337,0.001068227276638,CH,FE R,total,FALSE
-0.164277478714836,0.0494866306575376,0.000959341010922865,Own,FE R,total,FALSE
-0.182093359983267,0.0493189903566663,0.000242462314026368,HC3,RE R,direct,FALSE
-0.219788978899693,0.052184616960078,2.91700695079244e-05,HC3,RE R,total,FALSE
-0.174558496965608,0.0930252464255079,0.0611068439857501,HC3,FE Casegrowth,direct,FALSE
-0.174558496965608,0.0820887713837191,0.0338977757997532,Canton,FE Casegrowth,direct,FALSE
-0.174558496965608,0.0954174582154009,0.0678637189516639,Time,FE Casegrowth,direct,FALSE
-0.174558496965608,0.0875621362553088,0.0466828382455525,Canton-Time,FE Casegrowth,direct,FALSE
-0.174558496965608,0.0771690606245313,0.0240748322813423,NW,FE Casegrowth,direct,FALSE
-0.174558496965608,0.0619405450629588,0.00499909023492763,CH,FE Casegrowth,direct,FALSE
-0.174558496965608,0.0779580071521806,0.0255355212765372,Own,FE Casegrowth,direct,FALSE
-0.174557129407365,0.0929374978983817,0.0608648187493033,HC3,FE Casegrowth,total,FALSE
-0.174557129407365,0.0822957622409461,0.0343478878601579,Canton,FE Casegrowth,total,FALSE
-0.174557129407365,0.0956385986783186,0.0685015782320451,Time,FE Casegrowth,total,FALSE
-0.174557129407365,0.0879448846704672,0.0476438378067938,Canton-Time,FE Casegrowth,total,FALSE
-0.174557129407365,0.0772364544531077,0.0241982804636195,NW,FE Casegrowth,total,FALSE
-0.174557129407365,0.0619263140189953,0.00498919489620175,CH,FE Casegrowth,total,FALSE
-0.174557129407365,0.0780329758458019,0.0256771200022787,Own,FE Casegrowth,total,FALSE
-0.175156698126201,0.0903542828535288,0.0530203738480398,HC3,RE Casegrowth,direct,FALSE
-0.286823498966275,0.0974610036129162,0.0033746973752835,HC3,RE Casegrowth,total,FALSE
-0.163090633024419,0.0844468113973675,0.0539180475758663,HC3,RE Casegrowth,direct,TRUE
-0.226965558362039,0.0875983378018743,0.00980108958574767,HC3,RE Casegrowth,total,TRUE
-0.166065359272576,0.0536659591344496,0.0020654708516276,HC3,DFE R,direct,FALSE
-0.166065359272576,0.0649716429526034,0.0108391891040073,Canton,DFE R,direct,FALSE
-0.166065359272576,0.0447454271454885,0.000225715722627469,Time,DFE R,direct,FALSE
-0.166065359272576,0.0597415499654234,0.00561419182943801,Canton-Time,DFE R,direct,FALSE
-0.166065359272576,0.0549297238366541,0.00260967523304761,NW,DFE R,direct,FALSE
-0.166065359272576,0.0504125673800375,0.00104651268702178,CH,DFE R,direct,FALSE
-0.166065359272576,0.0497641687503196,0.000900090295744333,Own,DFE R,direct,FALSE
-0.167161513545881,0.0534858787426971,0.00186327585923848,HC3,DFE R,total,FALSE
-0.167161513545881,0.0646244791329259,0.00992938025637475,Canton,DFE R,total,FALSE
-0.167161513545881,0.0441685818676929,0.000169667793284031,Time,DFE R,total,FALSE
-0.167161513545881,0.0590145206125665,0.00477557360639342,Canton-Time,DFE R,total,FALSE
-0.167161513545881,0.0546756269615022,0.00233426713250771,NW,DFE R,total,FALSE
-0.167161513545881,0.0499489342494337,0.000869963988054982,CH,DFE R,total,FALSE
-0.167161513545881,0.0494866306575376,0.000778500349188765,Own,DFE R,total,FALSE
-0.194616426028694,0.0930252464255079,0.0368587432056928,HC3,DFE Casegrowth,direct,FALSE
-0.194616426028694,0.0820887713837191,0.0180702940565594,Canton,DFE Casegrowth,direct,FALSE
-0.194616426028694,0.0954174582154009,0.0418327694028648,Time,DFE Casegrowth,direct,FALSE
-0.194616426028694,0.0875621362553088,0.0266210702664052,Canton-Time,DFE Casegrowth,direct,FALSE
-0.194616426028694,0.0771690606245313,0.0119331915927147,NW,DFE Casegrowth,direct,FALSE
-0.194616426028694,0.0619405450629588,0.00176231253982973,CH,DFE Casegrowth,direct,FALSE
-0.194616426028694,0.0779580071521806,0.012817335411113,Own,DFE Casegrowth,direct,FALSE
-0.192515992654692,0.0929374978983817,0.0387502113263813,HC3,DFE Casegrowth,total,FALSE
-0.192515992654692,0.0822957622409461,0.0196516581913395,Canton,DFE Casegrowth,total,FALSE
-0.192515992654692,0.0956385986783186,0.0445733375162617,Time,DFE Casegrowth,total,FALSE
-0.192515992654692,0.0879448846704672,0.0289841162880604,Canton-Time,DFE Casegrowth,total,FALSE
-0.192515992654692,0.0772364544531077,0.012955995051263,NW,DFE Casegrowth,total,FALSE
-0.192515992654692,0.0619263140189953,0.0019690432561517,CH,DFE Casegrowth,total,FALSE
-0.192515992654692,0.0780329758458019,0.0139037090416971,Own,DFE Casegrowth,total,FALSE
-0.471461319727335,0.294543287122686,0.109454004435247,DML,DML R,direct,TRUE
-0.693697730647795,0.335798898296794,0.0388461397943997,DML,DML R,total,TRUE
-0.471461319727335,0.294543287122686,0.109454004435247,DML,DML R,direct,FALSE
-0.693697730647795,0.335798898296794,0.0388461397943997,DML,DML R,total,FALSE
-0.809553569073495,0.508664822465915,0.111491125632477,DML,DML Casegrowth,direct,TRUE
-1.06043210960614,0.564733424911839,0.0604144229299002,DML,DML Casegrowth,total,TRUE
-0.911223739036259,0.567920532694216,0.108605728795032,DML,DML Casegrowth,direct,FALSE
-1.22185369975383,0.62367884101591,0.0501002353217691,DML,DML Casegrowth,total,FALSE
-0.164157446203733,0.0686731521744215,0.0171424455060814,Canton-Bootstrap,FE R,direct,FALSE
-0.164277478714836,0.0688120129414662,0.0172847668850413,Canton-Bootstrap,FE R,total,FALSE
-0.174558496965608,0.0847721837837912,0.0399190968576618,Canton-Bootstrap,FE Casegrowth,direct,FALSE
-0.174557129407365,0.0833608681077223,0.0366866859403526,Canton-Bootstrap,FE Casegrowth,total,FALSE
-0.166065359272576,0.0686731521744215,0.0158998495627012,Canton-Bootstrap,DFE R,direct,FALSE
-0.167161513545881,0.0688120129414662,0.0154276401643095,Canton-Bootstrap,DFE R,total,FALSE
-0.194616426028694,0.0847721837837912,0.0220401200238727,Canton-Bootstrap,DFE Casegrowth,direct,FALSE
-0.192515992654692,0.0833608681077223,0.0212642393804575,Canton-Bootstrap,DFE Casegrowth,total,FALSE
